40420833	61535445
31578615	68070102
41318778	64149097
51526978	51656223
56143581	39499216
51705655	33893517
40581645	36805991
29693914	47280694
24326581	64002759
26716212	76908807
36885994	76130540
51362250	66000186
62431303	53076347
64157571	41004869
56852796	36729789
43864849	46005279
31969386	66632505
28660367	91533045
33902464	113523492
47852241	127522875
72337641	134905364
96079588	145554075
107813285	164239353
112717570	181057559
122404504	183828113
139793812	170162559
155463289	144892422
159046000	113496836
148606185	83632126
128531373	59306136
102488443	39058001
75786753	24370583
53540119	15222356
35223286	10691752
21695676	10365961
13452926	10955056
9923822	12243680
9001265	15527537
8113982	20363408
9218843	25482391
12250398	26006791
16221507	20106136
20768708	13135657
22562702	9057583
18791605	8398849
12215239	9818332
7851992	11864074
5998310	13467658
6126591	12806375
8715169	9990304
11110557	5624811
10065467	1619657
6502058	1370193
3740296	2740491
2399909	2345932
1913718	1320525
1591079	140680
1091084	000000
604665	1489440
000000	2870087
200585	4763879
837634	6376899
1702053	6910182
3512343	7048706
4704718	6319821
4469501	5854006
4297860	6096723
5181618	5757909
6457134	4487223
6613820	2893280
5386725	2130768
3703604	4859521
2552535	14677553
2011366	32456019
3364685	57440373
10061251	84356998
24294840	102129394
44999982	105500470
67109248	97976127
83859115	82784192
90660954	60056937
86076550	35713411
73808347	19328386
57707002	10874098
37822012	6621028
20362760	6080528
11688122	7706301
8557448	10915406
6333539	17919482
4430664	27658847
6375105	33844201
13379672	32384085
20566496	24629134
26301869	15006481
29524238	8226562
25208959	7315567
15178536	14444030
6526737	29189174
5738722	44912409
13857033	50706693
23523433	42825521
31800551	28201414
39052180	14010225
39512341	5127960
29533558	1759537
15156784	098922
4873363	973000
666996	7353392
691105	18624241
2772107	31041356
6341045	39725305
12727394	40966288
21499277	33658477
30414877	21050174
34815942	10666239
30355278	5803009
19931274	3670676
10627768	4361505
4615526	8509743
1198503	12627406
1748338	14230174
5129767	12823309
8834594	8974539
10993203	6366559
10116390	8601890
7679014	16030251
5893913	29802046
6777790	51417107
11708704	75851016
21395035	94508701
36361111	99505975
54237046	87229556
70675802	62648711
78594453	36297143
71851719	17805093
53376705	7350224
32472745	1657494
16375422	061526
6469457	-000000
2170067	222204
1467500	747469
1121296	1566203
081325	3130694
000000	4695530
1279615	5813417
2299181	6152176
3391221	5335881
4213749	4134068
3966705	2609208
3386980	2215489
2493709	4527933
1855698	7683907
2205911	12426449
2194577	21895669
3263362	34976839
8045786	50210622
15349350	67300425
23951056	83069967
34401708	92851566
47472122	92808452
61175809	87865652
70298436	93220072
72384814	116495840
70408860	148098675
71928178	165586964
85091374	151828129
107453185	114288261
124191136	78998433
121758146	68834624
99946916	82383269
72048643	99217336
55914804	101949180
59586425	85005741
72705052	57315624
80492574	34028536
75464670	19801548
57204453	11806297
35389362	7100976
20002985	3044135
11871860	320308
6604974	036047
2395944	1422495
1367378	2854901
1853494	4338535
1063675	6576692
1224443	8285986
2829124	8824082
4347737	7700536
6029671	5112705
7153030	1942158
8261894	-000000
8068849	790616
5157367	1831192
2391732	2968812
531495	5866589
-000000	8954338
2330448	11273553
6102352	13834754
8159679	16587715
9102832	17545843
11682700	17130281
14056358	19572993
14265434	28436411
13877749	42998297
15021144	58119819
19297442	67957609
28590559	69399915
42573615	61173157
54786204	45216825
59141013	28969840
55425515	19165513
44701200	15530489
30621576	15185065
20066481	16865598
15441423	18092153
13885844	16804490
13124879	14181074
13258476	11819126
14065536	13007339
14697544	19792770
13184233	27601999
11331709	39907319
13804098	69636303
18433922	109165011
23814388	123604136
35397890	96135582
59529690	54435828
90613276	27967687
101873256	16897182
79169183	10239170
44854994	5159262
22826181	7067761
14502631	18644500
10940562	35143215
7812312	46373828
9465569	43270084
20126751	29970731
34019624	17307225
40671931	8542382
34743125	2772159
21523793	-438212
11216464	-060741
5026067	4473496
987990	9163038
1097921	11462664
3938521	12290914
6912810	10778694
9660353	7093341
11267330	3336189
11216755	796855
10011626	450844
7831296	1622303
4382101	3267789
1548592	6511228
1946345	11508481
4261118	16946777
6667243	20755557
9900447	20506392
14223560	17727199
18088442	20090750
19516728	35162286
18785909	58625200
17898782	75632474
23177542	75568281
40047524	59591283
59782625	37281194
67817172	18516854
59805312	8677362
42509856	5537823
25631773	3616710
13907980	2753214
6227384	4951266
2524037	9969266
4047120	14742276
7241503	15564523
9285910	12165103
12825247	8058737
16758431	4922884
15692695	1747578
10952767	-000000
7848316	297691
4781091	2343126
501625	5947306
-000000	8887226
3268811	9669093
6231277	8615880
8201405	6294443
9495900	4930485
10199005	5695207
9692583	5669116
7037215	4098369
5646651	3258767
6806288	3562728
6490469	3893886
4361150	3552814
3536720	3867770
4255226	5348813
5132265	8132222
5193864	12675103
4755009	15952302
5877487	16079004
9046786	14945634
11995451	14142290
12720030	13680468
12279606	13141963
12280113	13582163
11702632	14126271
11075362	13533041
11478727	14061190
11058244	16911268
9446782	23663135
8658572	35353347
11279402	47986547
18379983	57724580
26881368	71105747
35195349	97014376
44583450	125735838
55048331	136647252
72095726	121313568
96336133	92885807
111323684	81042995
105103043	107317234
83965541	159097866
67911983	199835540
79861869	203315525
119377546	168231403
158990742	114409857
172593552	67406282
151595898	36502276
106972562	19147726
61852267	13937681
31991699	18727656
15781129	29707197
7865180	43354552
8890152	54515302
17897720	54506489
30455551	41651318
40744307	26546499
41774342	18028448
32163837	13272591
19510769	9754806
10720764	10385585
5720447	14774402
2931640	20122462
2775872	22981043
5271878	21865750
9194025	20416066
12520017	20871198
13253819	19138470
11874737	14483084
10406551	10224483
9263097	7329098
6713631	7324862
2389667	9062733
-000000	10503626
302617	12770477
226206	14788019
1665940	16076242
5712600	19386625
8133696	22983373
8339516	23227008
10296313	21933897
13796256	20691172
15787905	18559211
14819759	19239016
11470497	27317589
9889230	36960714
12975369	41017035
18236883	44208109
23893719	55317951
29510361	79074056
32490488	110755988
38029409	131461896
56986781	125462280
83690128	99685025
102564286	68402614
105266895	39275980
87882369	18143539
57630425	8653511
31159482	11905349
15201533	23271877
7314409	36914176
6656567	49101568
12565942	51601496
23925036	41958936
37095153	29410478
42307098	19199958
35478639	10725278
23510528	7022456
12624275	10050227
6122288	16891584
4856291	23692726
6117259	26903529
10299308	26339346
16060480	22086619
18810302	14995762
18839707	8303276
16516956	2422566
11473622	000000
6284380	000000
2919180	279911
878514	1786510
000000	4220960
554263	5722208
1496045	7364531
2643808	9587885
4784935	12069428
6284955	13948444
6222949	14649898
7542362	14153698
9765743	12684253
9923819	12528851
9445270	16242129
9421244	26353971
9093773	45881082
10502098	70744675
18275751	88741800
34738469	88297213
55854849	68759314
71655843	45053328
72433208	30100327
59220640	23392688
42506662	21668739
29166338	24166219
19884597	30722082
15001086	40591580
15346295	50218052
20560150	53918906
29850915	47983359
39154994	34659097
41768665	21603869
37089949	14385076
28395943	11249467
17813585	9339644
8809669	9723862
5810850	10905188
7554030	10418168
8727018	9710991
9826436	11100561
11728634	13628315
11867215	15844604
11396410	18516354
12026398	19896355
13111545	19843712
14328865	20842565
15155368	22838641
15808566	25506743
18333898	27316018
22505038	26641621
24561554	25851940
25104077	28791303
24928503	37597760
23381242	48298864
25038540	52798035
31786116	49648229
39822002	48806999
43732534	63895774
42213806	99246911
42289861	143966918
54993807	176978029
84379992	179748172
122215275	147977350
152768975	98384276
155526915	55967167
126734889	30816999
86487786	18222976
48995090	13327749
24508637	13928659
18046682	21655250
15869790	42556621
13266345	71605139
20214440	93146263
38475936	94103137
61453802	73337823
78923043	46957595
80263710	28557466
64590407	18354142
41246504	13979106
21947475	12845782
14259830	14946467
13378997	20053221
12688490	24228329
14131400	25570892
17771129	22231954
21496316	14606455
23455040	6615883
20416457	1672272
14136111	1624683
9569947	3441261
6803319	3039759
4512344	2598053
3627251	4655810
4401328	6373362
5640464	6841584
6422070	6400680
7151028	6133417
7953571	6548297
8251705	5464778
8423792	4628305
7618641	4614623
5815264	3750919
4316704	6320816
3083530	16269725
3659678	28620700
7902569	36633308
15922251	33543175
24924969	21363070
31992520	12980868
32753236	7518789
22395336	3087988
8380484	6692031
788704	14535385
000000	20939859
4615764	23489680
14482967	20384801
23823119	13957508
25238175	5585921
20132214	-039564
13754105	000000
7198017	233559
2863940	-005042
2998275	2744473
4871273	6978468
5590277	7726236
5597859	4992252
7694264	2742865
10746132	1363561
10655743	004296
6289405	440537
3560421	2861381
4340793	4648064
3863679	6077515
4126353	8128908
5876035	9688516
7808344	10539922
10118994	10831127
11273671	11751306
10678258	13166040
9799177	13114267
12127740	13800100
15625576	16930759
15889989	20885197
16168320	23470350
18865105	24290359
21952011	33656242
23638623	58968919
25011017	88526620
33283307	103778937
54039908	92970062
78713829	63024279
89352539	33800107
78654560	16965284
55240056	11259496
30666806	10895676
14331491	13609285
8831867	18371547
9604457	23319734
13762047	28001124
17642675	30698409
19945955	30169750
24630908	28201733
28519908	31348853
26503859	49399600
23197182	81753200
28131223	108233000
47660834	107396522
75181076	81999303
94184011	49783252
91959312	25333405
68970636	14208930
40230333	10761868
20132911	9335645
11099680	9490144
9796714	11958477
10579941	14830121
9549918	16156795
10453083	15682715
13608688	10509540
13924451	4119066
10839119	3038709
6601742	6517882
3967571	12092168
4024287	19497571
6674887	27040610
11399770	31019541
17391793	31891992
24557521	30453844
28921233	25854606
28291715	23823403
25657740	38277145
22400505	77070825
24089926	129239349
42318492	167354194
81299737	162269103
125465230	117102006
145153282	65773600
126449105	36889041
83905106	46798321
44462300	94657480
31912986	151918521
53199041	179123172
97888417	157333720
140932240	104198843
149907946	54020816
117758494	23947607
70438496	11589176
34143810	8028791
15589603	6120572
7183524	5094545
2988155	4736168
2928820	5491330
3991340	8563649
4311188	10976874
6206691	10405392
7962029	7804470
7733464	5090141
7222107	2233179
5505253	000000
2276953	2311552
-000000	9969613
495132	20347228
4576865	29601016
11912163	35203572
19522495	35983233
25179057	30190228
28298831	19279852
26202736	11905729
19417191	21852001
12990522	53672103
14892238	92575434
31618451	115343104
60192770	108129009
87660052	76786330
96707657	42893471
80345204	22337728
50232252	13820780
24000942	12952272
10064113	16768820
8378209	22094850
12721984	30813422
16211988	41744140
20277544	47026455
27987750	44738262
36981945	40050373
40859976	39406501
37484268	52226446
33514272	79013444
38079720	102762584
57751953	105972501
82570815	88264101
92191271	64129808
81251437	44140342
60124801	29505294
40740004	20505969
26189664	14944398
15661728	11710802
10047479	14206260
8357942	20584899
9423579	26513486
13956629	30300933
18947388	30638315
22051848	27592383
25006804	21778017
23868282	18299937
18052389	27431085
14805921	56344815
19426841	100042397
38597825	137774659
71450882	151292255
106611302	135201849
128722990	95171128
121554634	54235859
89315426	28879882
53165242	16101136
26951289	11390003
13243356	13876556
9443697	27050094
11324560	50411805
18501781	73986147
36622531	87058885
60408334	81978316
71551513	59965817
63547381	34076700
47872234	16787171
31837622	9103050
15613088	7887261
5512661	14836285
3921412	32454671
8822314	59800899
22775697	85367265
45997108	93047358
69446426	78259427
77189329	51312103
64678044	27503863
42346986	11522463
22304967	3386179
9956040	6584065
3235113	19799884
3436869	38784430
12855807	55407495
27695117	58999392
41837039	49064312
47093799	33325551
38772918	20542162
25084798	16459009
15684479	18356255
10812318	23591287
9729285	37295099
15692229	56238911
29492125	64051131
42755123	51433249
47616107	27608092
40966655	8123745
23637837	-000000
6973612	2564472
000000	11741583
227661	26770554
5202931	49283414
17394272	69705282
36403757	73375434
53426274	59120913
58173769	35855587
49368984	15153443
31740433	5258111
14506776	4429960
5591518	6125722
2855125	7687181
2664852	12163304
4937844	19583520
8515132	24470064
12515614	22920320
16007322	14875313
15429412	4862285
9821772	000000
4258069	2039111
915784	7584859
000000	13616160
4506571	18644888
11315626	24087811
16309540	28556725
20197171	25953816
22986239	18484231
22384969	16952989
16962698	29463406
13865182	60057385
24483534	99342124
51143402	120287814
82346690	107239598
99310997	73514148
91052360	40788002
64258569	22165358
36553300	19524801
19847808	22567767
15077739	24526365
17216701	28220093
19918763	33836712
22841357	40188173
27322119	44710995
31788668	48598384
36484807	62136249
42278531	92593680
53863892	130623821
78010535	152494252
108826257	144927632
128318901	112666838
123207804	76454163
95663439	69047181
64971286	113108357
58550842	201346050
94439951	283172836
167942203	299048582
238816964	237826073
254181805	142681781
202845382	71899060
122141441	54359720
61167421	87329409
46927670	150516251
77119585	201868567
129928982	202971947
171158124	155538271
173137754	92482652
134781307	45952024
81415598	32100216
43335921	54624653
33366223	105019888
50330429	158279831
88811314	182742865
132293479	164356113
153427898	118056993
137876419	69828440
98771324	37265543
59346984	22958790
32607718	15706952
19554164	12102287
14806017	16223573
13142555	20996115
14043666	26021349
17904697	36173669
22680856	47511929
30058331	57683521
41479152	62498814
50826283	53309901
51234670	33245872
41062313	15940513
25968953	6789939
13213771	4267279
6540549	6708401
4290353	11900727
3943036	18334427
7709997	25262041
14124379	30419723
20299670	29937782
23749373	23182413
21956087	12897012
17140448	3988248
10939360	528857
5631506	-000000
2152508	358394
000000	3131189
794752	5854816
4165658	8251617
8627645	12011787
12319681	14094842
13497059	11504740
13376340	6284839
12630152	2643910
9609093	3172359
4906138	7175062
3518242	13370171
8190569	21742525
16284846	28762881
23912917	32527282
28084232	34464632
28790283	34368868
29408605	31882100
30118551	30649928
28272931	43563462
28882005	81531571
43577126	139983285
79371823	193417949
128367232	204302401
164612673	160704940
164059165	94095572
127682468	47671330
76217664	47035873
40524474	100166826
48661322	181988437
100618312	233351009
164071030	219985580
198195212	159143849
181443474	87090763
124877826	35101269
63471906	10764889
23776197	176639
6172584	-3654093
774007	-479835
-263821	6716079
247899	17056452
6076985	32559118
18967922	46322569
32929571	46681752
39657277	33657080
36997168	14232950
26234593	-284316
10434808	-6163426
-404882	-7409919
-3231383	-313921
-2865845	11986025
808061	26502993
9487356	43470567
22741841	51799939
36683277	47165040
42892677	32722182
35297117	13339932
19735388	-052144
4939423	-5322478
-5427137	-4955964
-7366466	2804973
-2104621	16050710
5537077	33905332
16346809	52661957
30563396	59446936
43516517	50220607
47220822	33837024
37304152	16177695
21334070	2205017
8378027	000000
894536	8510118
000000	19057709
6170090	29965432
17076647	44168323
28506269	57887128
38914403	62195977
47148666	54709967
48059449	44114397
42080672	41059451
35835591	54270302
38070149	91562470
55420934	146555641
89689916	195691149
135605519	210130726
171864736	178413291
173262790	121814983
137041169	77874962
88315348	81052400
62617127	146629390
85939685	254297987
157937464	344100959
249901758	353802389
306368015	277890584
281753110	166334439
196268158	81164952
107548630	60354247
57756211	106343937
64404823	192100067
119470900	265246939
191120524	279025115
234466982	229816613
220428574	151064282
165200708	78972342
103798197	32354214
52375264	12560197
18345254	14716113
6147548	29210725
13256854	45113817
29306038	62302871
43164983	79018433
56140548	89415432
